
[INFO] This tool reads browser history from ~/Library. 
For macOS 10.15+ you must add this Terminal (or your app) to
System Settings > Privacy & Security > Full Disk Access.

[Chrome:Profile 4] Found 1261 url rows in snapshot /var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
[Chrome:Profile 3] Found 80 url rows in snapshot /var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
[Chrome:Profile 5] Found 59 url rows in snapshot /var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
browser,profile,url,title,visited_at_iso,visit_count,source_path,snapshot_path
chrome,Profile 4,https://www.ecell.in/esummit/compi,21st E-Summit | 11th - 12th Dec,2025-11-01T09:16:16Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://www.ecell.in/esummit/login,"Login | 21st E-Summit | 11th - 12th December, 2025 | IIT Bombay",2025-11-01T09:14:49Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,"https://www.google.com/maps/place/Indian+Institute+of+Technology+Bombay/@19.1328594,72.9151275,851m/data=!3m1!1e3!4m6!3m5!1s0x3be7c7f189efc039:0x68fdcea4c5c5894e!8m2!3d19.1330605!4d72.9151061!16zL20vMDE2Yzlo!5m1!1e2?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",Indian Institute of Technology Bombay - Google Maps,2025-11-01T09:14:09Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,"https://www.google.com/maps/place/Indian+Institute+of+Technology+Bombay/@19.132958,72.9148934,405m/data=!3m1!1e3!4m6!3m5!1s0x3be7c7f189efc039:0x68fdcea4c5c5894e!8m2!3d19.1330605!4d72.9151061!16zL20vMDE2Yzlo!5m1!1e2?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",Indian Institute of Technology Bombay - Google Maps,2025-11-01T09:14:07Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,"https://www.google.com/maps/place/Indian+Institute+of+Technology+Bombay/@19.132791,72.91529,1161m/data=!3m1!1e3!4m6!3m5!1s0x3be7c7f189efc039:0x68fdcea4c5c5894e!8m2!3d19.1330605!4d72.9151061!16zL20vMDE2Yzlo!5m1!1e2?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",Indian Institute of Technology Bombay - Google Maps,2025-11-01T09:14:00Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,"https://www.google.com/maps/place/Indian+Institute+of+Technology+Bombay/@19.1314875,72.9156204,2610m/data=!3m1!1e3!4m6!3m5!1s0x3be7c7f189efc039:0x68fdcea4c5c5894e!8m2!3d19.1330605!4d72.9151061!16zL20vMDE2Yzlo!5m1!1e2?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",Indian Institute of Technology Bombay - Google Maps,2025-11-01T09:13:58Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,"https://www.google.com/maps/place/Indian+Institute+of+Technology+Bombay/@19.1331083,72.9150911,890m/data=!3m1!1e3!4m6!3m5!1s0x3be7c7f189efc039:0x68fdcea4c5c5894e!8m2!3d19.1330605!4d72.9151061!16zL20vMDE2Yzlo!5m1!1e2?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",Indian Institute of Technology Bombay - Google Maps,2025-11-01T09:13:57Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,"https://www.google.com/maps/place/Indian+Institute+of+Technology+Bombay/@19.1330605,72.9151061,941m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3be7c7f189efc039:0x68fdcea4c5c5894e!8m2!3d19.1330605!4d72.9151061!16zL20vMDE2Yzlo!5m1!1e2?entry=ttu&g_ep=EgoyMDI1MTAyOS4yIKXMDSoASAFQAw%3D%3D",Indian Institute of Technology Bombay - Google Maps,2025-11-01T09:13:44Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,https://maps.app.goo.gl/wU72CFpCkpGpkbN7A?_imcp=1,Indian Institute of Technology Bombay - Google Maps,2025-11-01T09:13:38Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
chrome,Profile 4,"https://www.google.com/maps/place/Indian+Institute+of+Technology+Bombay/@19.1330605,72.9125312,802m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3be7c7f189efc039:0x68fdcea4c5c5894e!8m2!3d19.1330605!4d72.9151061!16zL20vMDE2Yzlo!5m1!1e2?entry=tts&g_ep=EgoyMDI1MDkxNy4wIPu8ASoASAFQAw%3D%3D&skid=aa0e0cde-e32b-4369-9e84-4c71e7505916",Indian Institute of Technology Bombay - Google Maps,2025-11-01T09:13:38Z,1,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot,/var/folders/md/n0gb7vy53y32m15_p7b5123w0000gn/T/collect_history_snapshots/History.snapshot
